"PedigreeNodeId","Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","Points:0","Points:1","Points:2"
8254,326.7,-9.6582,-11.731,-7.9576,0.0069947,0.1369,0.0034184,0.0010799,0.8586,-3.2159,2.6984,-4.861
8034,326.49,-9.9746,-17.276,0,0.0067856,0.1368,0.0034155,0.0010789,0.85871,-3.2996,1.905,-4.861
8255,326.7,-7.4745,-13.229,-7.9576,0.0069947,0.1369,0.0034184,0.0010799,0.8586,-3.6356,2.099,-4.861
8039,326.49,-6.823,-18.746,0,0.0067856,0.1368,0.0034155,0.0010789,0.85871,-3.5802,1.3031,-4.861
8256,326.7,-5.0637,-14.326,-7.9577,0.0069947,0.1369,0.0034184,0.0010799,0.8586,-3.9448,1.4358,-4.861
8044,326.49,-3.4641,-19.646,0,0.0067856,0.1368,0.0034156,0.0010789,0.85871,-3.7521,0.6616,-4.861
8257,326.7,-2.499,-14.988,-7.9577,0.0069947,0.1369,0.0034184,0.0010799,0.8586,-4.1342,0.72897,-4.861
8049,326.49,1.5056e-13,-19.949,0,0.0067856,0.1368,0.0034156,0.0010789,0.85871,-3.81,-2.8755e-14,-4.861
8258,326.7,0.14165,-15.194,-7.9577,0.0069947,0.1369,0.0034185,0.0010799,0.8586,-4.198,-1.3017e-14,-4.861
8054,326.49,3.4641,-19.646,0,0.0067856,0.1368,0.0034156,0.0010789,0.85871,-3.7521,-0.6616,-4.861
8259,326.7,2.778,-14.939,-7.9577,0.0069947,0.1369,0.0034185,0.0010799,0.8586,-4.1342,-0.72897,-4.861
8059,326.49,6.823,-18.746,0,0.0067856,0.1368,0.0034157,0.0010789,0.85871,-3.5802,-1.3031,-4.861
8260,326.7,5.3299,-14.23,-7.9577,0.0069947,0.1369,0.0034185,0.0010799,0.8586,-3.9448,-1.4358,-4.861
8064,326.49,9.9746,-17.276,0,0.0067856,0.1368,0.0034157,0.0010789,0.85871,-3.2996,-1.905,-4.861
8261,326.7,7.7199,-13.088,-7.9577,0.0069947,0.1369,0.0034186,0.0010799,0.8586,-3.6356,-2.099,-4.861
8069,326.49,12.823,-15.282,0,0.0067856,0.1368,0.0034157,0.0010789,0.85871,-2.9186,-2.449,-4.861
8262,326.7,9.8753,-11.549,-7.9577,0.0069947,0.1369,0.0034186,0.0010799,0.8586,-3.2159,-2.6984,-4.861
8074,326.49,15.282,-12.823,0,0.0067856,0.1368,0.0034157,0.0010789,0.85871,-2.449,-2.9186,-4.861
8263,326.7,11.731,-9.6583,-7.9577,0.0069947,0.1369,0.0034186,0.0010799,0.8586,-2.6984,-3.2159,-4.861
8079,326.49,17.276,-9.9746,0,0.0067855,0.1368,0.0034158,0.0010789,0.85871,-1.905,-3.2996,-4.861
